Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,A43203,"Anastassiou, Peter T","32,297","25,838",603,2.33,10,10,0,0,0,75.96,Average,1,1,0,0,0.73,0,0,100,Average,Sonoma,Santa Rosa Memorial Hospital - Montgomery,106491064,-122.7,38.44
2017-2018,A43203,"Anastassiou, Peter T","32,297","25,838",603,2.33,10,10,0,0,0,75.96,Average,7,7,0,0,1.28,0,0,96.39,Average,Sonoma,Sutter Santa Rosa Regional Hospital,106494106,-122.71,38.47
2017-2018,A111675,"Araim, Leheb H","32,297","25,838",603,2.33,224,188,6,2.09,0.77,4.55,Average,224,188,6,3.19,3.57,2.09,0.77,4.55,Average,Tulare,Kaweah Delta Medical Center,106540734,-119.29,36.33
2017-2018,G62746,"Ardehali, Abbas","32,297","25,838",603,2.33,152,90,1,1.77,0.04,9.86,Average,152,90,1,1.11,1.47,1.77,0.04,9.86,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,20,20,1,5,1.9,6.14,0.16,34.2,Average,Los Angeles,Henry Mayo Newhall Hospital,106190949,-118.55,34.4
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,71,63,2,3.17,1.93,3.84,0.47,13.89,Average,Los Angeles,Northridge Hospital Medical Center,106190568,-118.53,34.22
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,43,33,0,0,2.72,0,0,9.6,Average,Los Angeles,Providence Holy Cross Medical Center,106190385,-118.46,34.28
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,58,53,1,1.89,1.86,2.37,0.06,13.22,Average,Los Angeles,Providence Tarzana Medical Center,106190517,-118.53,34.17
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,41,37,0,0,3.47,0,0,6.7,Average,Los Angeles,Valley Presbyterian Hospital,106190812,-118.46,34.19
2017-2018,G78432,"Atiya, Azmi W","32,297","25,838",603,2.33,242,215,5,2.32,0.75,5.43,Average,9,9,1,11.11,2.88,8.99,0.23,50.11,Average,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,C152548,"Baay, Peter L","32,297","25,838",603,2.33,66,51,1,2.74,0.07,15.29,Average,66,51,1,1.96,1.67,2.74,0.07,15.29,Average,Santa Barbara,Santa Barbara Cottage Hospital,106420514,-119.72,34.43
2017-2018,A62537,"Baker, Craig J","32,297","25,838",603,2.33,63,41,0,0,0,11.91,Average,8,6,0,0,0.65,0,0,100,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,A62537,"Baker, Craig J","32,297","25,838",603,2.33,63,41,0,0,0,11.91,Average,47,29,0,0,2.12,0,0,13.99,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A62537,"Baker, Craig J","32,297","25,838",603,2.33,63,41,0,0,0,11.91,Average,8,6,0,0,1.14,0,0,100,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,A43839,"Baladi, Naoum","32,297","25,838",603,2.33,96,84,2,1.74,0.21,6.27,Average,89,79,1,1.27,2.97,0.99,0.03,5.54,Average,San Mateo,Seton Medical Center,106410817,-122.47,37.68
2017-2018,A43839,"Baladi, Naoum","32,297","25,838",603,2.33,96,84,2,1.74,0.21,6.27,Average,7,5,1,20,6.79,6.87,0.17,38.29,Average,San Francisco,"St. Mary's Medical Center, San Francisco",106380965,-122.45,37.77
2017-2018,A117010,"Bansal, Neeraj","32,297","25,838",603,2.33,23,21,1,4.57,0.12,25.49,Average,13,11,1,9.09,2.98,7.13,0.18,39.71,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,A117010,"Bansal, Neeraj","32,297","25,838",603,2.33,23,21,1,4.57,0.12,25.49,Average,10,10,0,0,1.83,0,0,47.12,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,G85381,"Baradarian, Sam","32,297","25,838",603,2.33,174,129,1,1.12,0.03,6.25,Average,174,129,1,0.78,1.61,1.12,0.03,6.25,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,G55475,"Baumgartner, Fritz J","32,297","25,838",603,2.33,22,20,2,4.09,0.5,14.79,Average,7,7,0,0,2.3,0,0,53.52,Average,Butte,Enloe Medical Center - Esplanade,106040962,-121.85,39.74
2017-2018,G55475,"Baumgartner, Fritz J","32,297","25,838",603,2.33,22,20,2,4.09,0.5,14.79,Average,1,1,0,0,15.64,0,0,55.05,Average,Los Angeles,Lakewood Regional Medical Center,106190240,-118.15,33.86
2017-2018,G55475,"Baumgartner, Fritz J","32,297","25,838",603,2.33,22,20,2,4.09,0.5,14.79,Average,14,12,2,16.67,6.86,5.67,0.69,20.5,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A85379,"Benharash, Peyman","32,297","25,838",603,2.33,73,61,0,0,0,6.65,Average,73,61,0,0,2.12,0,0,6.65,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,C41588,"Bethencourt, Daniel M","32,297","25,838",603,2.33,112,90,4,3.06,0.83,7.84,Average,24,16,1,6.25,6.15,2.37,0.06,13.21,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,C41588,"Bethencourt, Daniel M","32,297","25,838",603,2.33,112,90,4,3.06,0.83,7.84,Average,88,74,3,4.05,2.79,3.39,0.7,9.91,Average,Orange,Memorialcare Orange Coast Medical Center,106300225,-117.96,33.7
2017-2018,G73011,"Beygui, Ramin E","32,297","25,838",603,2.33,114,96,1,1.72,0.04,9.56,Average,4,2,0,0,1.5,0,0,100,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,G73011,"Beygui, Ramin E","32,297","25,838",603,2.33,114,96,1,1.72,0.04,9.56,Average,45,41,1,2.44,1.13,5.06,0.13,28.19,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,G73011,"Beygui, Ramin E","32,297","25,838",603,2.33,114,96,1,1.72,0.04,9.56,Average,65,53,0,0,1.64,0,0,9.9,Average,Alameda,Washington Hospital - Fremont,106010987,-121.98,37.56
2017-2018,C53360,"Biniwale, Reshma M","32,297","25,838",603,2.33,1,.,.,.,,,,1,.,.,.,.,.,.,.,,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,A52432,"Birnbaum, Peter L","32,297","25,838",603,2.33,145,116,4,4.15,1.13,10.62,Average,145,116,4,3.45,1.94,4.15,1.13,10.62,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,A95947,"Biswas, Shankha S","32,297","25,838",603,2.33,301,266,4,1.29,0.35,3.31,Average,264,236,3,1.27,2.79,1.06,0.22,3.11,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,A95947,"Biswas, Shankha S","32,297","25,838",603,2.33,301,266,4,1.29,0.35,3.31,Average,11,7,0,0,3.26,0,0,37.71,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,A95947,"Biswas, Shankha S","32,297","25,838",603,2.33,301,266,4,1.29,0.35,3.31,Average,26,23,1,4.35,1.82,5.58,0.14,31.06,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A71097,"Bowdish, Michael E","32,297","25,838",603,2.33,60,48,1,4.83,0.12,26.92,Average,1,.,.,.,.,.,.,.,,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,A71097,"Bowdish, Michael E","32,297","25,838",603,2.33,60,48,1,4.83,0.12,26.92,Average,5,1,0,0,1.02,0,0,100,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A71097,"Bowdish, Michael E","32,297","25,838",603,2.33,60,48,1,4.83,0.12,26.92,Average,54,47,1,2.13,1.01,4.93,0.12,27.5,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,C132612,"Boyd, Jack H","32,297","25,838",603,2.33,169,145,1,1.26,0.03,7.04,Average,169,145,1,0.69,1.27,1.26,0.03,7.04,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,C53754,"Boyd, Walter D","32,297","25,838",603,2.33,43,33,0,0,0,11.2,Average,43,33,0,0,2.33,0,0,11.2,Average,Sacramento,UC Davis Medical Center,106341006,-121.46,38.55
2017-2018,A46084,"Brewster, Scot A","32,297","25,838",603,2.33,119,82,2,2.91,0.35,10.5,Average,119,82,2,2.44,1.96,2.91,0.35,10.5,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,A127795,"Burton, Elan C","32,297","25,838",603,2.33,137,120,2,2.29,0.28,8.28,Average,137,120,2,1.67,1.7,2.29,0.28,8.28,Average,Santa Clara,Santa Clara Valley Medical Center,106430883,-121.93,37.31
2017-2018,G81373,"Bushnell, Lamar J","32,297","25,838",603,2.33,62,56,0,0,0,7.62,Average,62,56,0,0,2.02,0,0,7.62,Average,Ventura,Community Memorial Hospital - San Buenaventura,106560473,-119.26,34.27
2017-2018,A76011,"Caffarelli, Anthony D","32,297","25,838",603,2.33,235,130,4,2.24,0.61,5.74,Average,235,130,4,3.08,3.2,2.24,0.61,5.74,Average,Orange,Hoag Memorial Hospital Presbyterian,106301205,-117.93,33.63
2017-2018,G80904,"Cain, Brian S","32,297","25,838",603,2.33,309,273,5,2.88,0.94,6.73,Average,309,273,5,1.83,1.48,2.88,0.94,6.73,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,C50172,"Caminha, Sergio D","32,297","25,838",603,2.33,204,183,3,0.94,0.19,2.73,Average,204,183,3,1.64,4.09,0.94,0.19,2.73,Average,Tulare,Kaweah Delta Medical Center,106540734,-119.29,36.33
2017-2018,G83248,"Canvasser, David A","32,297","25,838",603,2.33,149,119,5,5.3,1.72,12.38,Average,79,60,3,5,2.14,5.46,1.13,15.95,Average,San Luis Obispo,French Hospital Medical Center,106400480,-120.65,35.28
2017-2018,G83248,"Canvasser, David A","32,297","25,838",603,2.33,149,119,5,5.3,1.72,12.38,Average,70,59,2,3.39,1.55,5.09,0.62,18.38,Average,Santa Barbara,Marian Regional Medical Center,106420493,-120.41,34.95
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,52,45,0,0,2.53,0,0,7.57,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,20,19,0,0,1.6,0,0,28.4,Average,Los Angeles,Adventist Health White Memorial,106190878,-118.22,34.05
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,31,20,0,0,1.68,0,0,25.55,Average,Los Angeles,Emante Health Inter-Community Hospital,106190413,-117.89,34.09
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,24,17,2,11.76,2.13,12.92,1.56,46.67,Average,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,-118.27,34.05
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,80,61,2,3.28,1.81,4.22,0.51,15.25,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,G64972,"Capouya, Eli R","32,297","25,838",603,2.33,210,164,4,2.84,0.77,7.27,Average,3,2,0,0,2.13,0,0,100,Average,Los Angeles,Providence Saint Joseph Medical Center,106190758,-118.33,34.16
2017-2018,G76875,"Carter, Thomas L","32,297","25,838",603,2.33,2,.,.,.,,,,2,.,.,.,.,.,.,.,,Yuba,Adventist Health and Rideout,106580996,-121.59,39.14
2017-2018,A116795,"Cash, Jonathan C","32,297","25,838",603,2.33,23,19,1,3.85,0.1,21.47,Average,23,19,1,5.26,3.19,3.85,0.1,21.47,Average,Ventura,Los Robles Hospital and Medical Center,106560492,-118.89,34.21
2017-2018,G72322,"Castro, Luis J","32,297","25,838",603,2.33,137,71,1,1.65,0.04,9.18,Average,137,71,1,1.41,2,1.65,0.04,9.18,Average,San Mateo,Sequoia Hospital,106410891,-122.25,37.48
2017-2018,G86116,"Chammas, Joseph H","32,297","25,838",603,2.33,71,63,2,3.52,0.43,12.72,Average,65,57,2,3.51,1.96,4.17,0.51,15.07,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,G86116,"Chammas, Joseph H","32,297","25,838",603,2.33,71,63,2,3.52,0.43,12.72,Average,6,6,0,0,3.44,0,0,41.68,Average,San Diego,Palomar Health Downtown Campus,106370755,-117.08,33.13
2017-2018,A79662,"Chaudhry, Pervaiz A","32,297","25,838",603,2.33,132,115,6,2.95,1.08,6.42,Average,99,86,6,6.98,4.89,3.33,1.22,7.25,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,A79662,"Chaudhry, Pervaiz A","32,297","25,838",603,2.33,132,115,6,2.95,1.08,6.42,Average,1,1,0,0,3.51,0,0,100,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,A79662,"Chaudhry, Pervaiz A","32,297","25,838",603,2.33,132,115,6,2.95,1.08,6.42,Average,32,28,0,0,1.8,0,0,17.05,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,G87230,"Chen, Raymond H","32,297","25,838",603,2.33,164,137,5,4.9,1.59,11.44,Average,164,137,5,3.65,1.74,4.9,1.59,11.44,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,A51926,"Cheng, Wen","32,297","25,838",603,2.33,4,2,0,0,0,100,Average,4,2,0,0,0.45,0,0,100,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,A84754,"Chow, Michael I","32,297","25,838",603,2.33,269,215,3,1.8,0.37,5.25,Average,269,215,3,1.4,1.81,1.8,0.37,5.25,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,A118849,"Chung, Joshua S","32,297","25,838",603,2.33,53,34,1,2.13,0.05,11.89,Average,53,34,1,2.94,3.22,2.13,0.05,11.89,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,C145226,"Cobanoglu, Mustafa A","32,297","25,838",603,2.33,29,29,0,0,0,16.96,Average,29,29,0,0,1.75,0,0,16.96,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,G45914,"Cohen, Robbin G","32,297","25,838",603,2.33,195,154,1,0.96,0.02,5.33,Average,194,154,1,0.65,1.59,0.96,0.02,5.33,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,G45914,"Cohen, Robbin G","32,297","25,838",603,2.33,195,154,1,0.96,0.02,5.33,Average,1,.,.,.,.,.,.,.,,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,G56704,"Concepcion, Noel L","32,297","25,838",603,2.33,234,202,6,2.09,0.77,4.56,Average,234,202,6,2.97,3.31,2.09,0.77,4.56,Average,Stanislaus,Doctors Medical Center,106500852,-121.2,37.8
2017-2018,G67226,"Connor, Ann R","32,297","25,838",603,2.33,13,12,1,7.67,0.19,42.73,Average,1,1,0,0,1.29,0,0,100,Average,Yuba,Adventist Health and Rideout,106580996,-121.59,39.14
2017-2018,G67226,"Connor, Ann R","32,297","25,838",603,2.33,13,12,1,7.67,0.19,42.73,Average,12,11,1,9.09,2.65,8.01,0.2,44.62,Average,San Bernardino,St. Bernardine Medical Center,106361339,-117.28,34.13
2017-2018,G83915,"Cunningham, Mark J","32,297","25,838",603,2.33,53,28,1,4.15,0.11,23.14,Average,1,1,0,0,1.01,0,0,100,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,G83915,"Cunningham, Mark J","32,297","25,838",603,2.33,53,28,1,4.15,0.11,23.14,Average,52,27,1,3.7,2.04,4.23,0.11,23.57,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A150648,"Currie, Maria E","32,297","25,838",603,2.33,8,8,1,4.19,0.11,23.34,Average,8,8,1,12.5,6.96,4.19,0.11,23.34,Average,San Joaquin,Dameron Hospital,106390846,-121.3,37.96
2017-2018,A69044,"Darbinian, Sevak H","32,297","25,838",603,2.33,204,157,2,1.92,0.23,6.92,Average,204,157,2,1.27,1.55,1.92,0.23,6.92,Average,Orange,Mission Hospital Regional Medical Center,106301262,-117.67,33.56
2017-2018,G55493,"Declusin, Richard J","32,297","25,838",603,2.33,11,10,1,10.26,0.26,57.17,Average,11,10,1,10,2.27,10.26,0.26,57.17,Average,Ventura,St. John's Regional Medical Center,106560529,-119.16,34.22
2017-2018,A79076,"Deeik, Ramzi K","32,297","25,838",603,2.33,103,82,2,3.53,0.43,12.74,Average,103,82,2,2.44,1.61,3.53,0.43,12.74,Average,Sonoma,Santa Rosa Memorial Hospital - Montgomery,106491064,-122.7,38.44
2017-2018,G88362,"Defilippi, Vincent J","32,297","25,838",603,2.33,156,124,6,4.59,1.68,9.99,Average,156,124,6,4.84,2.46,4.59,1.68,9.99,Average,Monterey,Salinas Valley Memorial Hospital,106270875,-121.65,36.66
2017-2018,G52082,"Dein, John R","32,297","25,838",603,2.33,49,44,0,0,0,6.24,Average,41,37,0,0,3.56,0,0,6.54,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,G52082,"Dein, John R","32,297","25,838",603,2.33,49,44,0,0,0,6.24,Average,8,7,0,0,0.88,0,0,100,Average,Sacramento,Mercy San Juan Hospital,106340950,-121.31,38.67
2017-2018,G50089,"Delrio, Michael J","32,297","25,838",603,2.33,60,51,2,3.08,0.37,11.12,Average,3,2,0,0,3.89,0,0,100,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,G50089,"Delrio, Michael J","32,297","25,838",603,2.33,60,51,2,3.08,0.37,11.12,Average,19,16,0,0,1.98,0,0,27.2,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,G50089,"Delrio, Michael J","32,297","25,838",603,2.33,60,51,2,3.08,0.37,11.12,Average,38,33,2,6.06,3.4,4.16,0.5,15.03,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,G33154,"Dembitsky, Walter P","32,297","25,838",603,2.33,26,10,0,0,0,86.48,Average,26,10,0,0,1,0,0,86.48,Average,San Diego,Sharp Memorial Hospital,106370694,-117.16,32.8
2017-2018,A152233,"Deuse, Tobias","32,297","25,838",603,2.33,47,41,0,0,0,24.42,Average,47,41,0,0,0.86,0,0,24.42,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,A52856,"Dharan, Murali","32,297","25,838",603,2.33,170,135,2,1.29,0.16,4.64,Average,104,80,1,1.25,2.2,1.33,0.03,7.4,Average,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,-122.04,37.99
2017-2018,A52856,"Dharan, Murali","32,297","25,838",603,2.33,170,135,2,1.29,0.16,4.64,Average,32,27,1,3.7,2.97,2.91,0.07,16.24,Average,Contra  Costa,San Ramon Regional Medical Center,106074017,-121.96,37.78
2017-2018,A52856,"Dharan, Murali","32,297","25,838",603,2.33,170,135,2,1.29,0.16,4.64,Average,34,28,0,0,3.84,0,0,8.02,Average,Alameda,Stanford Health Care - Valleycare,106014050,-121.88,37.69
2017-2018,A66066,"Dhawan, Puneet","32,297","25,838",603,2.33,123,105,1,1.07,0.03,5.96,Average,61,53,1,1.89,1.7,2.59,0.07,14.44,Average,Los Angeles,Los Angeles County/Harbor - UCLA Medical Center,106191227,-118.29,33.83
2017-2018,A66066,"Dhawan, Puneet","32,297","25,838",603,2.33,123,105,1,1.07,0.03,5.96,Average,6,6,0,0,2.82,0,0,50.95,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,A66066,"Dhawan, Puneet","32,297","25,838",603,2.33,123,105,1,1.07,0.03,5.96,Average,21,19,0,0,2.91,0,0,15.57,Average,Orange,St. Jude Medical Center,106301342,-117.93,33.89
2017-2018,A66066,"Dhawan, Puneet","32,297","25,838",603,2.33,123,105,1,1.07,0.03,5.96,Average,35,27,0,0,2.07,0,0,15.38,Average,San Bernardino,St. Mary Medical Center - Apple Valley,106361343,-117.27,34.54
2017-2018,A42591,"Dhillon, Jatinder S","32,297","25,838",603,2.33,93,80,1,0.88,0.02,4.9,Average,80,68,1,1.47,3.71,0.93,0.02,5.16,Average,Contra  Costa,John Muir Medical Center - Concord Campus,106071018,-122.04,37.99
2017-2018,A42591,"Dhillon, Jatinder S","32,297","25,838",603,2.33,93,80,1,0.88,0.02,4.9,Average,4,4,0,0,1.09,0,0,100,Average,Contra  Costa,San Ramon Regional Medical Center,106074017,-121.96,37.78
2017-2018,A42591,"Dhillon, Jatinder S","32,297","25,838",603,2.33,93,80,1,0.88,0.02,4.9,Average,9,8,0,0,1.16,0,0,92.55,Average,Alameda,Stanford Health Care - Valleycare,106014050,-121.88,37.69
2017-2018,A82962,"Dunnington, Gansevoort H","32,297","25,838",603,2.33,94,56,1,1.27,0.03,7.09,Average,90,52,1,1.92,3.45,1.3,0.03,7.25,Average,Napa,Adventist Health St. Helena,106281078,-122.47,38.54
2017-2018,A82962,"Dunnington, Gansevoort H","32,297","25,838",603,2.33,94,56,1,1.27,0.03,7.09,Average,2,2,0,0,1.07,0,0,100,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,A82962,"Dunnington, Gansevoort H","32,297","25,838",603,2.33,94,56,1,1.27,0.03,7.09,Average,2,2,0,0,1.04,0,0,100,Average,Napa,Queen of the Valley Medical Center,106281047,-122.3,38.32
